ID;Название (Title);Описание (Summary);Приоритет (Priority);Предусловия (Preconditions);Шаги (Steps to reproduce);Ожидаемый результат (Expected result);Статус (Status);Автоматизация (Automation);Покрытие (Coverage);Комментарии (Comments)
SETUP-001;Сборка и первый запуск приложения (Cold Start) на эмуляторе;;Critical;Проект открыт в Android Studio. Создан эмулятор Android API 29.;"1. Выбрать эмулятор в Android Studio в проекте приложения.
2. Запустить сборку проекта (Run) в Android Studio.";"1. Отображение выбранного эмулятора.
2. В консоли Build видна надпись «BUILD SUCCESSFUL». На эмуляторе приложение запускается, после Splash Screen открывается экран «Авторизация».";;;;
SETUP-002;Удаление приложения;;High;На устройстве установлено приложение.;"1. Долгий тап на иконке приложения на рабочем столе.
2. Нажать «App info».
3. Нажать «Uninstall».
4. Подтвердить удаление «Ok»";"1. Открывается контекстное меню.
2. Открывается окно с информацией о приложении.
3. Открывается окно подтверждения операции удаления.
4. Приложение удалено, иконка пропала с рабочего стола.";;;;
AUTH-001;Успешная авторизация существующего пользователя;;Critical;Приложение установлено и запущено. Пользователь не авторизован, находится на экране «Авторизация».;"1. Ввести «login2» в поле «Логин».
2. Ввести «password2» в поле «Пароль».
3. Нажать «Войти».";"1. Введённое значение отображается в поле.
2. Точки, скрывающие пароль отображаются в поле.
3. Открывается экран «Главная».";;;;
AUTH-002;Работа кнопки «Назад» при завершении сессии;Невозможность вернуться системной кнопкой «Назад» после выхода;Critical;Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».;"1. Нажать на аватар пользователя (правый верхний угол) в AppBar.
2. Нажать «Выйти».
3. Нажать системную кнопку «Назад».";"1. Открывается выпадающее меню.
2. Переход на экран «Авторизация».
3. Приложение закрывается.";;;;
AUTH-003;Запрос на авторизацию при выходе из аккаунта;Завершение сессии: после нажатия «Выйти» и повторного открытия приложения пользователь попадает на экран авторизации;Critical;Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».;"1. Нажать на аватар пользователя (правый верхний угол) в AppBar.
2. Нажать «Выйти».
3. Нажать системную кнопку «Назад» до закрытия приложения.
4. Запустить приложение тапом по иконке на рабочем столе.";"1. Открывается выпадающее меню.
2. Переход на экран «Авторизация».
3. Отображается рабочий стол девайса.
4. Приложение запускается заново, после Splash Screen открывается экран «Авторизация».";;;;
AUTH-004;Авторизация под несуществующим логином;;High;Приложение установлено и запущено. Пользователь не авторизован, находится на экране «Авторизация».;"1. Ввести «null_user_» + текущую дату/время в поле «Логин». (Пример значения: null_user_310726_1312). 
2. Ввести «password2» в поле «Пароль».
3. Нажать «Войти».";"1. Введённое значение отображается в поле.
2. Точки, скрывающие пароль отображаются в поле.
3. Вход не происходит. Остаёмся на экране «Авторизация».";;;;
AUTH-005;Авторизация существующего пользователя с неверным паролем;;High;Приложение установлено и запущено. Пользователь не авторизован, находится на экране «Авторизация».;"1. Ввести «login2» в поле «Логин».
2. Ввести «wrong_pw» в поле «Пароль».
3. Нажать «Войти».";"1. Введённое значение отображается в поле.
2. Точки, скрывающие пароль отображаются в поле.
3. Вход не происходит. Пользователь остаётся на экране «Авторизация».";;;;
AUTH-006;Авторизация с пустыми полями логина и пароля;;High;Приложение установлено и запущено. Пользователь не авторизован, находится на экране «Авторизация».;1. Нажать «Войти».;1. Вход не происходит. Пользователь остаётся на экране «Авторизация».;;;;
AUTH-007;Авторизация с пустым логином;;High;Приложение установлено и запущено. Пользователь не авторизован, находится на экране «Авторизация».;"1. Ввести «password2» в поле «Пароль».
2. Нажать «Войти».";"1. Точки, скрывающие пароль отображаются в поле.
2. Вход не происходит. Пользователь остаётся на экране «Авторизация».";;;;
AUTH-008;Авторизация с пустыми паролем;;High;Приложение установлено и запущено. Пользователь не авторизован, находится на экране «Авторизация».;"1. Ввести «login2» в поле «Логин».
2. Нажать «Войти».";"1. Введённое значение отображается в поле.
2. Вход не происходит. Пользователь остаётся на экране «Авторизация».";;;;
