Группа проверок/модуль;Проверка;Приоритет;Выполнение;Комментарии
Подготовка стенда (SETUP);Установка APK на Эмулятор API 29;Critical;Passed;
Подготовка стенда (SETUP);Запуск приложения, прохождение Splash Screen;Critical;Passed;
Подготовка стенда (SETUP);Удаление приложения штатными средствами ОС;High;Passed;
;;;;
Авторизация (AUTH);Вход по валидным данным;Critical;Passed;
Авторизация (AUTH);Валидация полей ввода логина и пароля на экране «Авторизации» (пустые значения, спецсимволы);High;Passed;
Авторизация (AUTH);Авторизация под несуществующим аккаунтом;High;Passed;
Авторизация (AUTH);Отображение корректных ошибок при вводе неверных данных или отсутствия Интернета на устройстве;Medium;Failed;Отображается ошибка «Что-то пошло не так. Попробуйте позднее.» при неверном логине/пароле или при отсутствии Интернета на устройтсве. Должны быть ошибки «Неверный логин или пароль» и «Отсутствует подключение к интернет. Проверьте соединение и попробуйте снова.» соответственно.
Авторизация (AUTH);Сохранность сессии: после перезапуска приложения авторизованный пользователь остается в системе;High;Passed;
Авторизация (AUTH);Завершение сессии: после нажатия «Выйти» и повторного открытия приложения пользователь попадает на экран авторизации;Critical;Passed;
Авторизация (AUTH);Нажатие «Назад» на экране «Авторизация» закрывает приложение;Medium;Passed;
Авторизация (AUTH);После нажатия «Выйти» (Log out) возврат на предыдущие экраны через системную кнопку «Назад» невозможен;Critical;Passed;
;;;;
Работа верхнего меню (APPBAR);Открытие Drawer-меню;High;Passed;
Работа верхнего меню (APPBAR);Закрытие Drawer-меню кликом вне области списка или кнопкой «Назад»;Medium;Passed;
Работа верхнего меню (APPBAR);Переход на экран «Главная» через Drawer-меню с любого другого экрана;Low;Passed;
Работа верхнего меню (APPBAR);Переход на экран «Новости» через Drawer-меню с любого другого экрана;Medium;Passed;
Работа верхнего меню (APPBAR);Переход на экран «О приложении» через Drawer-меню с любого другого экрана;High;Failed;Блокировка перехода с экрана «Новости». Пункт меню не реагирует на нажатие. С экрана «Главная» переход работает корректно. Дефект [ID_БАГА].
Работа верхнего меню (APPBAR);Пункт текущего экрана в Drawer-меню выделен неактивен;Low;Failed;На экране «Новости» пункт «Новости» остается визуально активным, а не переходит в недоступное состояние. Дефект [ID_БАГА].
Работа верхнего меню (APPBAR);Открытие экрана «Цитаты» кнопкой в виде бабочки;High;Passed;
Работа верхнего меню (APPBAR);Нажатие на аватар пользователя (правый верхний угол) открывает меню выхода;High;Passed;
Работа верхнего меню (APPBAR);Закрытие меню выхода вне области списка или кнопкой «Назад»;Medium;Passed;
Работа верхнего меню (APPBAR);Корректность отображения логотипа;Medium;Passed;
;;;;
Глобальная навигация (NAV);Возврат на предыдущий экран в иерархии с помощью кнопки «Назад» (стек фрагментов);Medium;Failed;Некорректная работа Navigation Backstack: кнопка «Назад» выгружает историю послойно вместо возврата к корню раздела. (Stack не очищается).
Глобальная навигация (NAV);Защита от случайного выхода из приложения (паттерн Double Back Press) при нахождении на экране «Главная»;Low;Failed;Приложение закрывается после первого же нажатия системной кнопки «Назад». Отсутствует Toast-подсказка или диалог подтверждения выхода. Дефект [ID_БАГА].
;;;;
Главная страница (MAIN);Вертикальный скроллинг экрана «Главная» при превышении высоты экрана;Medium;Passed;
Главная страница (MAIN);Обновление экрана «Главная» свайпом вниз;Critical;Failed;Бесконечная анимация спинера. Блок «Новости» не обновляется.
Главная страница (MAIN);Отображение блока «Новости» со списком из не более, чем 3 новостей (только статус «Активна» И датой публикации <= текущей);High;Passed;
Главная страница (MAIN);Сворачивание/разворачивание блока «Новости»;Medium;Passed;
Главная страница (MAIN);Сворачивание/разворачивание информации отдельной новости;Medium;Passed;
Главная страница (MAIN);Переход на экран «Новости» по кнопке «Все новости»;High;Passed;
;;;;
Раздел «Новости» (NEWS);Вертикальный скроллинг экрана «Новости» при превышении высоты экрана;High;Passed;
Раздел «Новости» (NEWS);Бесконечный скроллинг / Пагинация: подгрузка следующих порций новостей при прокрутке списка вниз;High;Failed;Прогружается только первая страница (запрос https://students.netoservices.ru/qamid-diplom-backend/news?pages=1&publishDate=false), далее загрузка не происходит.
Раздел «Новости» (NEWS);Отображение новостей в списке;Critical;Passed;
Раздел «Новости» (NEWS);Обновление экрана «Новости» свайпом вниз;Critical;Passed;
Раздел «Новости» (NEWS);Отображение иконки категории новости;Low;Passed;
Раздел «Новости» (NEWS);Отображение заголовка новости (не пустой текст);High;Passed;
Раздел «Новости» (NEWS);Обрезание длинного заголовка с многоточием (...), отсутствие перепрыгивания на вторую строку;Medium;Passed;
Раздел «Новости» (NEWS);Наличие и формат даты публикации (ДД.ММ.ГГГГ);Medium;Passed;
Раздел «Новости» (NEWS);Сворачивание/разворачивание описания новости;High;Passed;
Раздел «Новости» (NEWS);Кнопка сортировки в ToolBar меняет порядок списка на противоположный (Сначала новые/Сначала старые);Medium;Passed;
Раздел «Новости» (NEWS);Кнопка фильтрации в ToolBar открывает окно «Фильтровать новость»;Medium;Passed;
Раздел «Новости» (NEWS);Кнопка редактирования в ToolBar открывает экран «Панель управления»;High;Passed;
Раздел «Новости» (NEWS);Отсутствие удаленной новости в списке на экране «Новости»;High;Passed;
Раздел «Новости» (NEWS);Отсутствие новостей со статусом «Не активна» в списке на экране «Новости»;High;Passed;
Раздел «Новости» (NEWS);Корректное отображение заглушки при пустом списке на экране «Новости»;Medium;Passed;
;;;;
Фильтрация новостей (NW-FL);Вертикальный скроллинг окна фильтации при превышении высоты экрана;Medium;Failed;В ландшафтном режиме (1280*720, 320 dpi) кнопки управления скрыты под нижним краем экрана, скролл внутри формы фильтра не работает. Дефект [ID_БАГА].
Фильтрация новостей (NW-FL);Открытие выпадающего списка категорий при фокусе на поле ввода «Категория»;High;Passed;
Фильтрация новостей (NW-FL);Блокировка ручного ввода и вставки текста в поле «Категория» (только выбор из списка);Medium;Failed;Это нарушает целостность данных, хотя и удобно для автотестирования.
Фильтрация новостей (NW-FL);Нажатие на первое поле (Дата_1) ввода даты открывает системный диалог выбора даты;Medium;Passed;
Фильтрация новостей (NW-FL);Нажатие на второе поле (Дата_2) ввода даты открывает системный диалог выбора даты;Medium;Passed;
Фильтрация новостей (NW-FL);Блокировка ручного ввода или вставки текста в поле ввода даты;Medium;Failed;Вставка текста возможна. При невалидных значениях, при условии, что оба поля дат заполнены, приложение крашится. Это нарушает целостность данных, хотя и удобно для автотестирования.
Фильтрация новостей (NW-FL);Фильтрация новостей по корректному диапазону дат (Дата_1 <= Дата_2);High;Passed;
Фильтрация новостей (NW-FL);Фильтрация по дате публикации при указании только конечной дата (Дата_2);Medium;Failed;Выдаёт ошибку «Неверно указан период». По логике должна быть сортировка от начала времени до выбранной даты.
Фильтрация новостей (NW-FL);Фильтрация по дате публикации при указании только начальной дата (Дата_1);Medium;Failed;Выдаёт ошибку «Неверно указан период». По логике должна быть сортировка от указанной даты до текущего момента, а если фильтрация идёт в «Панели управления», то до максимальной возможной даты.
Фильтрация новостей (NW-FL);Корректная фильтрация по датам: Дата_1 > Дата_2;Low;Failed;Выдаёт пустой список новостей без ошибок (визуально выглядит как баг). Для удобства пользования было бы логично поменять местами Дата_1 с Дата_2 и произвести фильтрацию с учётом этих исправлений.
Фильтрация новостей (NW-FL);Отсутствие блока фильтрации активности («Активна»/«Не активна») при открытии фильтра с экрана «Новости»;Medium;Passed;
Фильтрация новостей (NW-FL);Наличие блока фильтрации активности при открытии фильтра из «Панели управления новостями»;High;Passed;
Фильтрация новостей (NW-FL);Кнопка «Фильтровать» закрывает окно фильтрации с применением выбранных фильтров и переносит на экран с новостями;High;Passed;
Фильтрация новостей (NW-FL);Кнопка «Отмена» закрывает окно фильтрации без применения выбранных фильтров и переносит на экран с новостями;Medium;Passed;
Фильтрация новостей (NW-FL);Нажатие системной кнопки «Назад» работает аналогично кнопке «Отмена»: закрывает окно без применения фильтров;Low;Passed;
Фильтрация новостей (NW-FL);Применение фильтров к общему списку новостей (фильтрация затрагивает все страницы пагинации, а не только загруженные);High;Failed;Фильтрация применяется только к прогруженной первой странице.
Фильтрация новостей (NW-FL);Отображение заглушки при применении фильтров, не дающих результатов;Low;Passed;
;;;;
Панель управления новостями (NW-CP);Вертикальный скроллинг контента экрана «Панель управления» при превышении высоты экрана;High;Passed;
Панель управления новостями (NW-CP);Бесконечный скроллинг / Пагинация: подгрузка следующих порций новостей при прокрутке списка вниз;High;Failed;Прогружается только первая страница (запрос https://students.netoservices.ru/qamid-diplom-backend/news?pages=1&publishDate=false), далее загрузка не происходит.
Панель управления новостями (NW-CP);Кнопка сортировки в ToolBar меняет порядок списка на противоположный (Сначала новые/Сначала старые);Medium;Passed;
Панель управления новостями (NW-CP);Кнопка фильтрации в ToolBar открывает окно «Фильтровать новость»;Medium;Passed;
Панель управления новостями (NW-CP);Кнопка создания в ToolBar открывает форму «Создание новости»;High;Passed;
Панель управления новостями (NW-CP);Корректность отображения карточки новости в Панели управления: Иконка категории, Заголовок, Дата публикации;Medium;Passed;
Панель управления новостями (NW-CP);Корректность отображения времени публикации новости (ЧЧ:ММ);Medium;Failed;Время публикации скрыто. Администратору не удобно работатьс новостями. Чтобы увидеть время публикации новости, надо зайти в её редактирование.
Панель управления новостями (NW-CP);Корректность отображения даты создания новости (ДД.ММ.ГГГГ);Low;Failed;Отображается дата вида 19.06.58545. Явная ошибка конвертации временной метки (Timestamp). Похоже на подстановку значения в секундах вместо миллисекунд.	
Панель управления новостями (NW-CP);Отображение автора новости;Low;Passed;
Панель управления новостями (NW-CP);Отображение статуса новости («Активна»/«Не активна»);High;Passed;
Панель управления новостями (NW-CP);Наличие элементов управления (Delete/Edit) для каждой новости в списке Панели управления;Critical;Passed;
Панель управления новостями (NW-CP);Сворачивание/разворачивание описания новости;Low;Passed;
Панель управления новостями (NW-CP);Нажатие кнопки удаления вызывает диалоговое окно подтверждения операции;Medium;Passed;
Панель управления новостями (NW-CP);Подтверждение удаления в диалоговом окне (нажатие «Ок») удаляет новость из списка;Critical;Passed;
Панель управления новостями (NW-CP);Добавленная новость отображается в списке сразу после создания;High;Passed;
Панель управления новостями (NW-CP);Отмена удаления в диалоговом окне (нажатие «Отмена»);Medium;Passed;
Панель управления новостями (NW-CP);Нажатие кнопки редактирования открывает форму «Редактирование новости»;High;Passed;
Панель управления новостями (NW-CP);Сворачивание/разворачивание описания новости;High;Passed;
Панель управления новостями (NW-CP);Корректное отображение заглушки при пустом списке новостей на экране «Панель управления»;Medium;Passed;
;;;;
Создание/Редактирование новости (NW-CE);Вертикальный скроллинг контента формы «Создания/Редактирования новости» при превышении высоты экрана;High;Passed;
Создание/Редактирование новости (NW-CE);Корректное отображение подсказок (hint) в пустых полях ввода;Low;Passed;
Создание/Редактирование новости (NW-CE);Открытие выпадающего списка категорий при фокусе на поле ввода «Категория»;High;Passed;
Создание/Редактирование новости (NW-CE);Блокировка ручного ввода и вставки текста в поле «Категория» (только выбор из списка);Medium;Failed;Это нарушает целостность данных, хотя и удобно для автотестирования.
Создание/Редактирование новости (NW-CE);Валидация текстового поля «Заголовок»;Medium;Failed;У поля нет ограничения (не выявлены) по количеству символов. Длинные заголовки не будут видны: в БД они хранятся полностью, а приложение их обрезает.
Создание/Редактирование новости (NW-CE);Нажатие на поле ввода «Дата публикации» открывает системный диалог выбора даты;High;Passed;
Создание/Редактирование новости (NW-CE);Поле ввода «Дата публикации» не допускает выбор прошедшей даты;Critical;Passed;
Создание/Редактирование новости (NW-CE);Блокировка ручного ввода и вставки текста в поле «Дата публикации»;Medium;Failed;Это нарушает целостность данных, хотя и удобно для автотестирования.
